"Title","Author","Description","Pages","Publication year","Publisher","Category","Subcategory","Price"
"بنك أسرار حياة المرأة","دعاء طنطاوي","في هذا الكتاب قضايا تساعد الرجل في حل كل ما يسكن في ذاكرته وفكره من الغاز المرأة التي يصعب عليه ان يجد مفاتيح ابوابها المؤصدة . ويتضمن الكتاب ما ي حتاجه آدم من حواء وما تحتاجه حواء من ادم ، بالاضافة الى طقوس وعادات تشحن بطارية الزواج ، والمصائب السبع في عا عرضحتاجه آدم من حواء وما تحتاجه حواء من ادم ، بالاضافة الى طقوس وعادات تشحن بطارية الزواج ، والمصائب السبع في عا","160","2011","دار عالم الثقافة للنشر والتوزيع","0000010000000","الجمال","37.5"
"بنك الثقافة","طلال عزيز","هذه الموسوعة مختلفة الطعوم، متباينة الألوان، فيها الكثير من المعلومات الجغرافية ""مواقع الأنهار في العالم، عواصم الدول، أعلى القمم في العالم، أهم ا لصحاري""، والأخبار التاريخية ""الأحداث التاريخية، اختراعات واكتشافات آثار ومتاحف ""، وذكر المشاهير الذين خلفوا بصماتهم على مر الأعوام. رجال ونساء خاضوا غمار العديد من العلوم والفنون والآداب، والفلسفة والفلك والرياضيات، والطب والهندسة، والفيزياء والكيمياء والمنطق وعلم الاجتماع. ولئن كانت صغيرة الحجم، إلا أنها موفورة النفع، جمة الفوائد، وتلك كانت غاية المصنف من تصنيفها، ووضعها بين يدي القراء الأعزاء. عرضلصحاري...""، والأخبار التاريخية ""الأحداث التاريخية، اختراعات واكتشافات آثار ومتاحف... ""، وذكر المشاهير الذين خلفوا بصماتهم على مر الأعوام. رجال ونساء خاضوا غمار العديد من العلوم والفنون والآداب، والفلسفة والفلك والرياضيات، والطب والهندسة، والفيزياء والكيمياء والمنطق وعلم الاجتماع. ولئن كانت صغيرة الحجم، إلا أنها موفورة النفع، جمة الفوائد، وتلك كانت غاية المصنف من تصنيفها، ووضعها بين يدي القراء الأعزاء.","570","2011","دار كنوز المعرفة العلمية للنشر والتوزيع","0100000000000","ألغاز","56.25"
"بنية الشكل الجمالي في التصميم الداخلي","علاء الدين الإمام","أسس الشكل في فن التصميم عامة جدلا واسعا بوصفه ظاهرة تحمل قيما بصرية ترتبط بجوانب نفعية واحكام جمالية متباينة ومتغيرة عبر الزمان والمكان. وحاولت ال عديد من الحركات والنظريات والفلسفات النقدية على مستوى الفكر التنظيري من سبر غور الشكل وإحكام منظومته العلائقي عرضعديد من الحركات والنظريات والفلسفات النقدية على مستوى الفكر التنظيري من سبر غور الشكل وإحكام منظومته العلائقي","148","2007","المنظمة العربية للترجمة","0000001000000","الهندسة","90.01"
"بو وبا في يوم عاصف","أولوف ، لينا لاندستروم","كُلَّما نوى بُو وبَا أن يفعلا شيئاً، يحدثُ ما ليسَ في الحُسبانِ، ويتعجَّبان، ولكنَّ الأمورَ تسيرُ على ما يُرامُ من دونِ ان يعرفَ بُو وبَا، بالضبط، كيف تّمَّ ذلك. هذه المرة، سيركبانِ الزلاجةَ إلى البقّال، يصلانِ إلى هناكَ بسُرعَةِ البرق، أمّا في طريق العو عرضكيف تّمَّ ذلك. هذه المرة، سيركبانِ الزلاجةَ إلى البقّال، يصلانِ إلى هناكَ بسُرعَةِ البرق، أمّا في طريق العو","32","2010","دار المنى","0000010000000","الأطفال","52.5"
"بو وبا ينظفان","أولوف ، لينا لاندستروم","كُلَّما نوى بُو وبَا أن يفعلا شيئاً، يحدثُ ما ليسَ في الحُسبان، ويتعجَّبان ولكنَّ الأمورَ تسيرُ على ما يُرامُ من دونِ أن يعرفَ بُو وبَا، بالضبط، ك يف تَمَّ ذلك. هذه المرة، سيُنظِّفُ بو وبا بيتَهما، ويبدآن النظيفَ بحماسٍ شديد، لكنَّ المكنَسَةَ الكهربائيةَ عرضيف تَمَّ ذلك. هذه المرة، سيُنظِّفُ بو وبا بيتَهما، ويبدآن النظيفَ بحماسٍ شديد، لكنَّ المكنَسَةَ الكهربائيةَ","32","2010","دار المنى","0000010000000","الأطفال","52.5"
"بوادر أمل تلوح في الأفق","عبد الله العثيمين","بلغة شاعرية جميلة، وفكر لماح وعيون ثاقبة؛ رصد الدكتور عبد الله الصالح العثيمين العديد من الأحداث والقضايا التي مرت بها الأمة العربية، خلال الستين  عاماً الماضية. لقد وُعد المواطن العربي بعد الاستقلال بالحرية والعدالة والازدهار الاقتصادي، لكنه فوجئ بالحكوما عرضعاماً الماضية. لقد وُعد المواطن العربي بعد الاستقلال بالحرية والعدالة والازدهار الاقتصادي، لكنه فوجئ بالحكوما","248","2013","دار الفكر المعاصر","0000000100000","العلوم السياسية","30.0"
"بوح نبض","محمد ربابعه","كتاب بألوان زاهية نصه موزون، يُقرأ للطفل وقت النوم. هيّا نم، واحد من سلسلة أربعة كتب مثالية للقراءة للطفل بصوتٍ عالٍ في سنته الأولى.  عرض","148","2016","دار الغاية للنشر والتوزيع","0000000000001","القصص","6.0"
"بوش محارباً","بوب ودورد","أخترقت الطائرات أبراج التجارة على الأراضي الأمريكية .. فإختلفت وإختلفت الأمور تماما بعد تلك اللحظة عما قبلها. هذه اللحظات التى تابعها العالم والمح للين السياسيين بكل ما ترتب بعدها من أحداث في العالم أجمع ، تناولتها العديد من الكتابات والدراسات، ولكن ما قام عرضللين السياسيين بكل ما ترتب بعدها من أحداث في العالم أجمع ، تناولتها العديد من الكتابات والدراسات، ولكن ما قام","388","2003","مكتبة العبيكان","0000000100000","العلوم السياسية","54.0"
"بوصلة الحب بين المرأة و الرجل","ناهد الحسن ، دعاء طنطاوي","يدرك قارئ هذا الكتاب ان القاسم المشترك بين الرجل والمراة عشق وردي ، حب اسر ، ورغبة جامحة ، لا يطفئ ثورانها الا التقاء احاسيسهما ، ومشاعرهما الدافئ ة . عرضة .","160","2011","دار عالم الثقافة للنشر والتوزيع","0000010000000","الجمال","26.25"
"بوّابة الحقيقة","عبد السلام المجالي","كتاب يسلسل بلغة معاصرة وأسلوب معاصر تاريخ العرب قديمًا وحديثًا، يصطفي أهم رجالاته، يضيء على عصور ازدهارهم وعصور انحطاطهم، ليفسِّر كل ما يخطَّط في  هذه اللحظات الحرجة على الساحة العربية -"". إن مشروع الشرق الأوسط الكبير، الذي سعت إليه إسرائيل، لم يرَ ال عرضهذه اللحظات الحرجة على الساحة العربية -"".... إن مشروع الشرق الأوسط الكبير، الذي سعت إليه إسرائيل، لم يرَ ال","392","2011","شركة المطبوعات للتوزيع والنشر","0010000000000","الدراسات التاريخية","63.75"
"بيئة العمل الايجابية","يوسف القبلان","يسلط هذا الكتاب الضوء على بيئة العمل الايجابية ومكونات هذه البيئة وخاصة العوامل المعنوية والانسانية . إن الأفكار الجوهرية التي يطرحها الكتاب لا تر تبط بالتقنيةأو الاجراءات أو المواد وانما ترتبط بالسلوك الانساني في بيئة العمل في أي مجال انطلاقا من القناعة بأن بيئة العمل الايجابية هي المفتاح السحري للرضا الوظيفي ثم الانتاجية التي تحقق أهداف الأفراد والمنظمات.لا يمكن لأي منظمة اغفال أهمية وجود ثقافة واضحة، ولا يمكن تحقيق النجاح بدون عمل جماعي واتصالات رسمية وغير رسمية. وثقة وتقدير ومشاركة تعزز الإنتماء والولاء وتحقق مصلحة الجميع. عرضتبط بالتقنيةأو الاجراءات أو المواد وانما ترتبط بالسلوك الانساني في بيئة العمل في أي مجال انطلاقا من القناعة بأن بيئة العمل الايجابية هي المفتاح السحري للرضا الوظيفي ثم الانتاجية التي تحقق أهداف الأفراد والمنظمات.لا يمكن لأي منظمة اغفال أهمية وجود ثقافة واضحة، ولا يمكن تحقيق النجاح بدون عمل جماعي واتصالات رسمية وغير رسمية. وثقة وتقدير ومشاركة تعزز الإنتماء والولاء وتحقق مصلحة الجميع.","160","2015","دار المناهج للنشر والتوزيع","0000000000100","إدارة الأعمال","56.25"
"بيان السبب الموجب لاختلاف القراءات وكثرة الطرق والروايات","أحمد المقريء","الإختلاف بين القراء في ألفاظ القرآن الكريم من أهم مسائل الأصول التي تحتاج لبحث وتقرير، فذكر المؤلف أنواع الإختلاف وأسبابه والقراءات المروية وأتبعه ا ببعض فتاوى شيخ الإسلام ابن تيمية في الموضوع نفسه. عرضا ببعض فتاوى شيخ الإسلام ابن تيمية في الموضوع نفسه.","91","2016","مكتبة وتسجيلات روائع نور الاستقامة","0000000000010","القرآن وعلومه","28.88"
"بيت الدُّمية","هنريك ابسن","عندما تنتهي أيها القارئ من قراءة هذه المسرحية، ستجد أن آخر ما يُسمع على خشبة المسرح هو صوت الباب الخارجي الذي تصفقه مسز «نورا هيلمر» خلفها وهي تغا در بيت الزوجية بعد أن أيقنت أنه لم يكن سوى «بيت الدمية» وأنها لم تكن فيه سوى «دمية» يقتنيها زوجها «نورفالد هي عرضدر بيت الزوجية بعد أن أيقنت أنه لم يكن سوى «بيت الدمية» وأنها لم تكن فيه سوى «دمية» يقتنيها زوجها «نورفالد هي","139","2017","دار المدى للطباعة والنشر والتوزيع","0000000000001","المسرحيات","7.5"
"بيع الأوطان بالمزاد العلني","عبد الله العثيمين","بيع الأوطان بالمزاد العلني كيف تباع الأوطان؟ ولمن؟ وكيف يكون شكل المزاد العلني؟ وإلى أي مدى تكون الدعاية له والتحضير؟ r> عديدة هي الكتب التي أشارت إلى بيع بعض الزعامات أوطان الأمة إلى أعدائها، لكن ذلك البيع كان في مجمله سراً، فأصبح في الآونة الأخيرة علنا عرضr> عديدة هي الكتب التي أشارت إلى بيع بعض الزعامات أوطان الأمة إلى أعدائها، لكن ذلك البيع كان في مجمله سراً، فأصبح في الآونة الأخيرة علنا","182","2011","دار الفكر المعاصر","0000000100000","العلوم السياسية","22.5"
"بيع المرابحة وتطبيقاتها في المصارف الإسلامية","أحمد ملحم","يمثل الكتاب دراسة فقهية هادفة لإحدى المسائل العملية التي يحتاج إليها المسلمون في حياتهم المعاصرة والتي يكثر عنها السؤال وهذه الدراسة تبين الفارق ب ين ما تعتمده المصارف الإسلامية وما تعتمده المصاريف الربوية كما قارن بين منهاج المصاريف الإسلامية في ممارستها عرضين ما تعتمده المصارف الإسلامية وما تعتمده المصاريف الربوية كما قارن بين منهاج المصاريف الإسلامية في ممارستها","308","2002","دار الثقافة للنشر والتوزيع","0000000000010","التشريع","37.5"
"بين حل الدولتين وحل الدولة الواحدة","محمود فنون","حين تقرأ هذا العمل، تجد نفسك أمام مناضل من الشخصيات النمطية في القضايا الأساسية. من فئة المثقف المشتبك الذي لا يتقاعد، وليس من فئة المثقف الذي حتى إذا ناضل، فلأجل رِفعة شخصه، لذا تنتهي هذه الفئة إلى تقسيم عمرها إلى ثلثه في الأسرة والمدرسة وربما الجامعة، عرضإذا ناضل، فلأجل رِفعة شخصه، لذا تنتهي هذه الفئة إلى تقسيم عمرها إلى ثلثه في الأسرة والمدرسة وربما الجامعة،","166","2019","دار فضاءات للنشر والتوزيع","0000000100000","العلوم السياسية","31.5"
"بين قوسين","رضا لاري","لم تكن الشخصية القيادية هي السمة المميزة لرضا لاري وحسب، فقد وجد فيه رفاقُه كثيرًا من الصفات العديدة، بما فيها تَسَلُّمُهُ لِزِمام الحديث في أي مج لس يجلسه، أو أي رحلة يمضي فيها معهم. كانت شخصيته بكلِّ جوانبها العديدة تنعكس دومًا على أجواء المكان الذي يحلّ عرضلس يجلسه، أو أي رحلة يمضي فيها معهم. كانت شخصيته بكلِّ جوانبها العديدة تنعكس دومًا على أجواء المكان الذي يحلّ","208","2016","جداول للنشر والترجمة والتوزيع","0000000000001","السير والذكريات","26.25"
"بيوت وراء الأشجار","محمد البساطي","كارثة 67 في مصر. هجر أهل بورسعيد مدينتهم، وحمل المركب سعدية الجميلة ذات الوجه الصبوح، والقوام الفارع، إلى بلدة صغيرة. بيوت البلدة الصغيرة تختبئ ور اء أشجار الكافور، والمأساة تختبئ وراء جدران البيوت، ومسعد الجزار زوج سعدية يختبئ في حجرة عنتر، والفتى المراهق عرضاء أشجار الكافور، والمأساة تختبئ وراء جدران البيوت، ومسعد الجزار زوج سعدية يختبئ في حجرة عنتر، والفتى المراهق","128","2000","دار الآداب","0000000000001","الروايات","20.63"
"بيوتات كربلاء القديمة","عبد الصاحب نصرالله","تعتبر أرض كربلاء رمزاً للمبدئية والثورية، وخصوصا أنها تحتضن رفات سيد الشهداء الإمام الحسين (عليه السلام) وأبناءه واخوته وأبناء أخيه وأبناء عمومته  وصحبه الكرام البررة الذين سقطوا يوم عاشوراء. من هذا المنطلق كان لبيوتات كربلاء القديمة أهمية لدى المسلمين، وه عرضوصحبه الكرام البررة الذين سقطوا يوم عاشوراء. من هذا المنطلق كان لبيوتات كربلاء القديمة أهمية لدى المسلمين، وه","614","2011","مؤسسة البلاغ للطباعة والنشر والتوزيع","0010000000000","الحضارات والمدن","56.25"
"تأثير الخف اليدوي والمعاملة بالجبريلين على ظاهرة المعاومة في الزيتون","طلال الفوزو","تعتبر شجرة الزيتون شجرة الحضارات القديمة وتشير التنقيبات الأثرية إلى أن تاريخ الزيتون يرتبط بتاريخ البحر الأبيض المتوسط ومنذ العهد البرونزي، ويعتق د الكثير من العلماء الدارسين أن سورية الطبيعية هي أول من عرف زراعة الزيتون ومنذ /6000/ ستة آلاف سنة قبل الميلاد. لقد حبا الخالق عز وجل منطقة حوض المتوسط بأفضل النعم الغذائية، حيث كان غذاء شعوب هذه المنطقة يعتمد على القمح (البروتينات) والزيتون (الدهون، ومصدرها زيت الزيتون) والتين والعنب والنخيل (الكربوهدرات). إن تباين الإنتاج في شجرة الزيتون من سنة لأخرى أدى إلى تباين أسعار الزيت والزيتون كما أن الدراسات الاقتصادية والاجتماعية تشير إلى زيادة الطلب على ثمار وزيت الزيتون نتيجة للنمو السكاني للقطر بعد أن تجاوز عدد سكان القطر في عام/2002/ حوالي (18) مليون نسمة، وهذا أدى إلى زيادة الطلب المحلي والعالمي وعلى ارتفاع أسعار الزيت والزيتون، وهذا بدورة أدى إلى عودة المزارعين والاهتمام بشجرة الزيتون وتقديم الخدمات الزراعية لها. ومن الجدير بالذكر أن الأبحاث والدراسات على الزيتون لم تحظ بالاهتمام عالميا كما هو الحال في الزراعات الأخرى إلا بشكل متأخر ومن هذه الدراسات التي استوجبت الاهتمام ظاهرة المعاومة (تبادل الحمل). عرضد الكثير من العلماء الدارسين أن سورية الطبيعية هي أول من عرف زراعة الزيتون ومنذ /6000/ ستة آلاف سنة قبل الميلاد. لقد حبا الخالق عز وجل منطقة حوض المتوسط بأفضل النعم الغذائية، حيث كان غذاء شعوب هذه المنطقة يعتمد على القمح (البروتينات) والزيتون (الدهون، ومصدرها زيت الزيتون) والتين والعنب والنخيل (الكربوهدرات). إن تباين الإنتاج في شجرة الزيتون من سنة لأخرى أدى إلى تباين أسعار الزيت والزيتون كما أن الدراسات الاقتصادية والاجتماعية تشير إلى زيادة الطلب على ثمار وزيت الزيتون نتيجة للنمو السكاني للقطر بعد أن تجاوز عدد سكان القطر في عام/2002/ حوالي (18) مليون نسمة، وهذا أدى إلى زيادة الطلب المحلي والعالمي وعلى ارتفاع أسعار الزيت والزيتون، وهذا بدورة أدى إلى عودة المزارعين والاهتمام بشجرة الزيتون وتقديم الخدمات الزراعية لها. ومن الجدير بالذكر أن الأبحاث والدراسات على الزيتون لم تحظ بالاهتمام عالميا كما هو الحال في الزراعات الأخرى إلا بشكل متأخر ومن هذه الدراسات التي استوجبت الاهتمام ظاهرة المعاومة (تبادل الحمل).","128","2005","جروس برس ناشرون","0000001000000","علم النبات","22.5"
"تأثير الصعود الصيني في مستقبل الهيمنة الأمريكية","منتصر الرفاعي","منذ مطلع القرن الحادي والعشرين. بدأت الصين تأخذ طريقها جدّياً نحو تبوء مكانة عالمية متميّزة، لذلك تزايدت الشكوك وتعاظمت الريبة حول نتائج وتداعيات  تلك المكانة، فمن أهم المشكلات التي أصبحت تثيرها قضية الصعود الصيني هي مسألة الهيمنة الأميركية، وقد صار هذا الاحتمال هاجساً قوياً يقضُّ مضاجع الساسة في الولايات المتحدة الأمريكية بشكل عام، والعالم الغربي والآسيوي بشكل خاص، لذا لم يكن غريبًا، أن يندفع قسم كبير من الباحثين والأكاديميين في هذه الأجزاء من العالم، لتقصي ومراقبة السلوكيات الصينية الخارجية في محاولة لاستنتاج توجهاتها في هذا الشأن، فضلاً عن تقييم قدرات الصين المتنامية ونواياها المستقبلية، وعرض الجدل حول تأثير هذا الصعود في القارة الآسيوية والنظام الدولي، وتسليط الضوء على مسار العلاقات الصينية الآسيوية والدولية وتطورها وتعاظم دورها في مجال الاستثمارات الاقتصادية، والسياسية والعسكرية، فضلاً عن استشراف مستقبل الهيمنة الأمريكية في النظام الدولي. عرضتلك المكانة، فمن أهم المشكلات التي أصبحت تثيرها قضية الصعود الصيني هي مسألة الهيمنة الأميركية، وقد صار هذا الاحتمال هاجساً قوياً يقضُّ مضاجع الساسة في الولايات المتحدة الأمريكية بشكل عام، والعالم الغربي والآسيوي بشكل خاص، لذا لم يكن غريبًا، أن يندفع قسم كبير من الباحثين والأكاديميين في هذه الأجزاء من العالم، لتقصي ومراقبة السلوكيات الصينية الخارجية في محاولة لاستنتاج توجهاتها في هذا الشأن، فضلاً عن تقييم قدرات الصين المتنامية ونواياها المستقبلية، وعرض الجدل حول تأثير هذا الصعود في القارة الآسيوية والنظام الدولي، وتسليط الضوء على مسار العلاقات الصينية الآسيوية والدولية وتطورها وتعاظم دورها في مجال الاستثمارات الاقتصادية، والسياسية والعسكرية، فضلاً عن استشراف مستقبل الهيمنة الأمريكية في النظام الدولي.","392","2017","بيسان للنشر والتوزيع","0000000100000","السياسة الدولية","72.0"
"تأثير العوامل السياسية في سياسة الإصلاح الاقتصادي في الجمهورية اليمنية","عدنان المقطري","يتركز موضوع هذا الكتاب في تأثير العوامل السياسية في عملية (الإصلاح الاقتصادي) في الجمهورية اليمنية. وترمز سياسة الإصلاح الاقتصادي عموماً إلى انفتا ح الأسواق داخلياً وخارجياً، وإزالة القيود على نشاط القطاع الخاص المحلي والأجنبي، والتخفيف من ثقل الدولة في ا عرضح الأسواق داخلياً وخارجياً، وإزالة القيود على نشاط القطاع الخاص المحلي والأجنبي، والتخفيف من ثقل الدولة في ا","448","2019","دار اليازوري العلميه للنشر و التوزيع","0000000000100","الاقتصاد","75.01"
"تأثير المواد التليفزيونية الأجنبية على إنتاج المواد الثقافية","كمال الحاج","لا تقتصر آثار مشكلة التدفق الإعلامي على ما تحدثه بعض المواد الأجنبية الوافدة من تأثير على المتلقي، بل تزداد هذه المشكلة تفاقما بإعمال نفس التأثير  على الجمهور عبر بعض الإنتاج الوطني الذي يحمل صفة المحلية اسما، ولكنه في بعض الأحيان أجنبي الجوهر والتوجه نتيجة لامتداد تأثير الاختراق الثقافي من مستوى الجمهور إلى مستوى القائمين بالاتصال. فبدلا من أن تعكس المواد المحلية الثقافة الوطنية، تصبح أداة من أدوات التنميط الثقافي وبالتالي يصعب القول إن ما يقدم إلى الجمهور عبر القنوات الاتصالية الوطنية هو ناتج المجتمع المحلي، وقيمه الثقافية، والاجتماعية. وبذلك يصبح الاتصال الجماهيري كالجسد الغريب ثقافيا. يحاول هذا الكتاب دراسة مدى تأثير المواد الإعلامية الأجنبية على عملية انتاج المضمون الإعلامي العربي في التلفزيون المصري والسوري ومدى تأثر القائمين على هذا الإنتاج من حيث المضمون والشكل بالمواد الإعلامية الأجنبية. وتقديم حلول مناسبة لمواجهة هذا التدفق والاختراق الثقافي الإعلامي. عرضعلى الجمهور عبر بعض الإنتاج الوطني الذي يحمل صفة المحلية اسما، ولكنه في بعض الأحيان أجنبي الجوهر والتوجه نتيجة لامتداد تأثير الاختراق الثقافي من مستوى الجمهور إلى مستوى القائمين بالاتصال. فبدلا من أن تعكس المواد المحلية الثقافة الوطنية، تصبح أداة من أدوات التنميط الثقافي وبالتالي يصعب القول إن ما يقدم إلى الجمهور عبر القنوات الاتصالية الوطنية هو ناتج المجتمع المحلي، وقيمه الثقافية، والاجتماعية. وبذلك يصبح الاتصال الجماهيري كالجسد الغريب ثقافيا. يحاول هذا الكتاب دراسة مدى تأثير المواد الإعلامية الأجنبية على عملية انتاج المضمون الإعلامي العربي في التلفزيون المصري والسوري ومدى تأثر القائمين على هذا الإنتاج من حيث المضمون والشكل بالمواد الإعلامية الأجنبية. وتقديم حلول مناسبة لمواجهة هذا التدفق والاختراق الثقافي الإعلامي.","280","2013","المؤسسة الجامعية للدراسات والنشر والتوزيع","0000000010000","الإعلام","45.0"
"تأثير تجزئة السماد البوتاسي والماء الممغنط في نمو وحاصل الذرة الصفراء","احمد الموسوي","الدراسة الحالية تتناول تاثير المياه الممغنطة وتداخلها مع مستويات مختلفة من كبريتات البوتاسيوم المضافة الى نبات الذرة الصفراء وانعكاساتهافي مؤشرات  نمو النبات الفسلجية والحيوية والمحتوى الكيميائي لبعض العناصر المغذية ونسبة البروتين واهمية ذلك في الحاصل ومكوناته اذ اجريت تجربتان حقليتان في منطقة الحسينية في محافظة كربلاء بهدف معرفة تاثير تجزئة السماد البوتاسي والماء الممغنط في نمو وحاصل الذرة الصفراء L.) Zea mays).التجربة الاولى تضمنت دراسة عاملين،العامل الاول نوعية المياه واستعملت فيه معاملتان (مياه الممغنطة ومياه غير الممغنطة) وبشدة مغناطيسية قدرها 1500 كاوس، والعامل الثاني تجزئة السماد البوتاسي الى خمس دفعات (دفعة واحدة ودفعتان وثلاث دفعات واربع دفعات وخمس دفعات). والتجربة الثانية تضمنت دراسة عاملين،العامل الاول معاملات تجزئة البوتاسيوم المضاف للتربة (كما في اعلاه التجربة الاولى) والعامل الثاني معاملات تجزئة البوتاسيوم المضاف للتربة + الرش بالتركيز2000 ملغم K.لتر-1. استعمل تصميم القطاعات الكاملة المعشاة (RCBD) وبترتيب الالواح المنشقة (Spilt plot) وبثلاثة مكررات اذ زرعت بذور الذرة الصفراء صنف تركيبي 5012 . عرضنمو النبات الفسلجية والحيوية والمحتوى الكيميائي لبعض العناصر المغذية ونسبة البروتين واهمية ذلك في الحاصل ومكوناته اذ اجريت تجربتان حقليتان في منطقة الحسينية في محافظة كربلاء بهدف معرفة تاثير تجزئة السماد البوتاسي والماء الممغنط في نمو وحاصل الذرة الصفراء L.) Zea mays).التجربة الاولى تضمنت دراسة عاملين،العامل الاول نوعية المياه واستعملت فيه معاملتان (مياه الممغنطة ومياه غير الممغنطة) وبشدة مغناطيسية قدرها 1500 كاوس، والعامل الثاني تجزئة السماد البوتاسي الى خمس دفعات (دفعة واحدة ودفعتان وثلاث دفعات واربع دفعات وخمس دفعات). والتجربة الثانية تضمنت دراسة عاملين،العامل الاول معاملات تجزئة البوتاسيوم المضاف للتربة (كما في اعلاه التجربة الاولى) والعامل الثاني معاملات تجزئة البوتاسيوم المضاف للتربة + الرش بالتركيز2000 ملغم K.لتر-1. استعمل تصميم القطاعات الكاملة المعشاة (RCBD) وبترتيب الالواح المنشقة (Spilt plot) وبثلاثة مكررات اذ زرعت بذور الذرة الصفراء صنف تركيبي 5012 .","100","1997","مؤسسة الانتشار العربي","0000001000000","علم النبات","11.25"
"تأثير فضائيات الطفل على قيمهم الاجتماعية","إبراهيم يحياوي ، نور الدين جبالي","تعد وسائل الاعلام اليوم من الضرورات الاجتماعية في تقدم الشعوب وانفتاحها على العالم الخارجي لكون وسائل الاعلام اضحت تنقل المعلومات والافكار والاراء والعادات والتقاليد والثقافات المختلفة الى كل نقاط العالم دون اي رقابة . عرضوالعادات والتقاليد والثقافات المختلفة الى كل نقاط العالم دون اي رقابة .","196","2018","نور للنشر","0000000010000","الإعلام","215.09"
"تأثيرات الإشعاع على الإنسان","خالد كاظم","من العلوم ا تطورت سريعا خلال العقود القليلة الماضية، علم الإشعاع الحياتي، إذ بدأ العالم بعد عام ()195 يعير إهتساسا ، لتاثيرات الأشعة المؤينة على ا لأنظسة الحية، وخاصة بعد حادثتي هيروشيسا وناكازاكي. وبعد توالي إستمرار إختبار الأسلحة النووية في الطبيعة زادت عرضلأنظسة الحية، وخاصة بعد حادثتي هيروشيسا وناكازاكي. وبعد توالي إستمرار إختبار الأسلحة النووية في الطبيعة زادت","377","2019","دار المناهج للنشر والتوزيع","0000001000000","الفيزياء","56.25"
"تأملات في التاريخ العربي","شارل عيساوي","يتناول هذا الكتاب بعض أوجه التاريخ العربي وتاريخ الشرق الأوسط الذي ما زالت الأقطار العربية تكوّن قلبه النابض. يدور البحث حول بعض أوجه تاريخ المنطق ة الإقتصادية والإمبراطورية العربية، والشرق الأوسط في الاقتصاد العالمي، وتدهور التجارة فيها. كما يتحدّث عن أوروبا والشرق الأوسط وتحوّل النفوذ، وتغير الإدراك الغربي للشرق وغيرها الكثير من النقاط التي يجري فيها مقارنة مع بعض البلدان الغربية. عرضة الإقتصادية والإمبراطورية العربية، والشرق الأوسط في الاقتصاد العالمي، وتدهور التجارة فيها. كما يتحدّث عن أوروبا والشرق الأوسط وتحوّل النفوذ، وتغير الإدراك الغربي للشرق وغيرها الكثير من النقاط التي يجري فيها مقارنة مع بعض البلدان الغربية.","256","1991","مركز دراسات الوحدة العربية","0010000000000","الدراسات التاريخية","24.38"
"تأملات في السياسة السودانية","أحمد محمد","عجز النظام عن توفير حلول مرضية لأزمات البلاد وعدم قدرته على تقديم التنازلات، قاده إلى الفشل في معالجة الأزمات بل وتعميقها، ودفعه للمناورة بقضية ال سلام المهمة جداً في السياسة السودانية. فتكريسه الجهد لتحويل إتفاقية السلام الشامل لوثيقة تثبت نظامه في الشمال بغض النظر عن تداعيات هذا التثبيت، قوضت فرص السلام الموعود وقادت لإنفصال الجنوب. وتأكدت توقعاتنا القاضية بأن إستمرار دولة المؤتمر الوطني الطفيلية في الشمال ونشوء دولة الحركة الشعبية في الجنوب في غياب المؤسسية والشفافية وضعف إن لم يكن غياب المشاركة الشعبية، يحتم إنتشار الفساد في الدولتين في إطار غياب مبدأ المحاسبة والإنفراد بالسلطة بشكل أو بآخر. وهذا يهدد بتعميق الأزمة ونشوء دولتين فاشلتين بدلاً من دولة فاشلة واحدة. عرضسلام المهمة جداً في السياسة السودانية. فتكريسه الجهد لتحويل إتفاقية السلام الشامل لوثيقة تثبت نظامه في الشمال بغض النظر عن تداعيات هذا التثبيت، قوضت فرص السلام الموعود وقادت لإنفصال الجنوب. وتأكدت توقعاتنا القاضية بأن إستمرار دولة المؤتمر الوطني الطفيلية في الشمال ونشوء دولة الحركة الشعبية في الجنوب في غياب المؤسسية والشفافية وضعف إن لم يكن غياب المشاركة الشعبية، يحتم إنتشار الفساد في الدولتين في إطار غياب مبدأ المحاسبة والإنفراد بالسلطة بشكل أو بآخر. وهذا يهدد بتعميق الأزمة ونشوء دولتين فاشلتين بدلاً من دولة فاشلة واحدة.","168","2017","نور للنشر","0000000100000","العلوم السياسية","161.22"
"تأملات في تاريخ الأدب الروسي في القرن التاسع عشر","ف. يا. لينكوف","يتناول المؤلف في هذا الكتاب طرح قضية مغزى الحياة في الأدب الروسي للقرن التاسع عشر وخاصة في إبداع الشاعرين الروسيين الكبيرين الإكساندر بوشكين وميخا ئيل ليرمونتوف ثم يتناول جدلية «النفوس الميتة » رائعة نيكولاي غوغول و مذهب السلوك الاجتماعي في عقد الأربعينيا عرضئيل ليرمونتوف ثم يتناول جدلية «النفوس الميتة » رائعة نيكولاي غوغول و مذهب السلوك الاجتماعي في عقد الأربعينيا","231","2017","دار الروافد الثقافية ناشرونu200e","0000000000001","تاريخ الأدب","45.0"
